Family,Species,Sex,Known or assumed karyotype?,Citation,Comments
Soricidae,Crocidura latona,XY,Assumed,NA,NA
Soricidae,Crocidura lea,XY,Assumed,NA,NA
Soricidae,Crocidura lepidura,XY,Assumed,NA,NA
Soricidae,Crocidura leucodon,XY,Known,Blackmon et al. (2019),NA
Soricidae,Crocidura levicula,XY,Assumed,NA,NA
Soricidae,Crocidura littoralis,XY,Assumed,NA,NA
Soricidae,Crocidura longipes,XY,Assumed,NA,NA
Soricidae,Crocidura lucina,XY,Assumed,NA,NA
Soricidae,Crocidura ludia,XY,Assumed,NA,NA
Soricidae,Crocidura luna,XY,Assumed,NA,NA
Soricidae,Crocidura lusitania,XY,Assumed,NA,NA
Soricidae,Crocidura lwiroensis,XY,Assumed,NA,NA
Soricidae,Crocidura macarthuri,XY,Assumed,NA,NA
Soricidae,Crocidura macmillani,XY,Assumed,NA,NA
Soricidae,Crocidura macowi,XY,Assumed,NA,NA
Soricidae,Crocidura malayana,XY,Assumed,NA,NA
Soricidae,Crocidura manengubae,XY,Assumed,NA,NA
Soricidae,Crocidura maquassiensis,XY,Assumed,NA,NA
Soricidae,Crocidura mariquensis,XY,Assumed,NA,NA
Soricidae,Crocidura maurisca,XY,Assumed,NA,NA
Soricidae,Crocidura maxi,XY,Assumed,NA,NA
Soricidae,Crocidura mdumai,XY,Assumed,NA,NA
Soricidae,Crocidura mindorus,XY,Assumed,NA,NA
Soricidae,Crocidura miya,XY,Assumed,NA,NA
Soricidae,Crocidura monax,XY,Assumed,NA,NA
Soricidae,Crocidura monticola,XY,Assumed,NA,NA
Soricidae,Crocidura montis,XY,Assumed,NA,NA
Soricidae,Crocidura munissii,XY,Assumed,NA,NA
Soricidae,Crocidura muricauda,XY,Assumed,NA,NA
Soricidae,Crocidura musseri,XY,Assumed,NA,NA
Soricidae,Crocidura mutesae,XY,Assumed,NA,NA
Soricidae,Crocidura nana,XY,Assumed,NA,NA
Soricidae,Crocidura nanilla,XY,Assumed,NA,NA
Soricidae,Crocidura neglecta,XY,Assumed,NA,NA
Soricidae,Crocidura negligens,XY,Assumed,NA,NA
Soricidae,Crocidura negrina,XY,Assumed,NA,NA
Soricidae,Crocidura newmarki,XY,Assumed,NA,NA
Soricidae,Crocidura nicobarica,XY,Assumed,NA,NA
Soricidae,Crocidura nigeriae,XY,Known,Blackmon et al. (2019),NA
