"","XYorvariant","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","AssessedStatus2","SourceStatus2","ThreatStatus","ImputedThreatStatus","AbsoluteLatitude","RangeSize","RangeSize_km2","Longitude","Latitude","Insularity","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","PropGrazingArea","PropAnthroHyde","DietInv","DietVend","DietVect","DietVfish","DietVunk","DietScav","DietFruit","DietNect","DietSeed","DietPlant","SourceDiet","DietBreadth","MaxLongevity","SourceLongevity","LitterSize","LitterSize_Metric","SourceLitterSize","DirectDev","LarvalStage","Viviparity","SourceDirectDev","SourceLarvalStage","BiomeNum_1","BiomeNum_2","BiomeNum_3","BiomeNum_4","BiomeNum_5","BiomeNum_6","BiomeNum_7","BiomeNum_8","BiomeNum_9","BiomeNum_10","BiomeNum_11","BiomeNum_12","BiomeNum_13","BiomeNum_14","PopulationTrend","Threat_1","Threat_2","Threat_3","Threat_4","Threat_5","Threat_6","Threat_7","Threat_8","Threat_9","Threat_10","Threat_11","Threat_12","ThreatSum","perc.acro","haploid","auto.hap"
"Dermanura phaeotis",1,"XAYAfusion","Dermanura phaeotis","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1902",1902,"Mammals",0,57.3,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",11.6,0,"Faurby, Davis, Pedersen, Schowanek, Antonelli, and Svenning, 2018, Ecology, 99:2626",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura phaeotis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,7.393507734,424,3737458.408,-74.85482483,7.393507734,0,"This work",0,0,0,0.016509434,0.983490566,0,0,0,238.9016873,2262.788608,772.9777497,55.30249614,454.4617864,1319.972079,46.16474606,0.003051581,0.048530694,0.094342181,0.053102781,0.167971464,0.145924456,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.99","UniqueValue","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.632075472,0.143867925,0.058962264,0,0,0,0.089622642,0,0,0,0,0,0.044811321,0.016509434,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,14
"Dermanura tolteca",1,"XAfusion","Dermanura tolteca","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","(SAUSSURE, 1860)",1860,"Mammals",0,65,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",15.4,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura tolteca","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,17.51751398,139,849474.3835,-93.4916418,17.51751398,0,"This work",0,0,0,0.172661871,0.827338129,0,0,0,220.4079058,1543.327388,1781.278952,84.31889711,814.6751346,270.2243645,97.23253909,0.008033394,0.127936189,0.118917491,0.01696672,0.161438067,0.254887074,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","","","",1,0,1,"Assumed for this work","Assumed for this work",0.410071942,0.294964029,0.237410072,0,0,0,0,0,0,0,0,0,0.050359712,0.007194245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,14
"Dermanura watsoni",1,"XAYAfusion","Dermanura watsoni","Dermanura","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1901",1901,"Mammals",0,52.5,"HBL",0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",12,0,"Faurby, Davis, Pedersen, Schowanek, Antonelli, and Svenning, 2018, Ecology, 99:2626",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Dermanura watsoni","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,11.81955793,93,554686.608,-84.49759802,11.81955793,0,"This work",0,0,0,0,1,0,0,0,241.6992493,2743.550137,884.0727321,51.09188844,359.0343812,476.7831787,50.77539058,0.003450605,0.086941047,0.102234042,0.000225123,0.124034412,0.192625695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","1","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.827956989,0.075268817,0.043010753,0,0,0,0.032258065,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,14
"Diaemus youngii",0,"XYknown","Diaemus youngii","Diaemus","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","JENTINK 1893",1893,"Mammals",0,115,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",45,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.75,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2023. The IUCN Red List of Threatened Species. Version 2022-2",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Diaemus youngii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,7.397055667,1209,13081282.99,-58.39789013,-7.397055667,0,"This work",0,0,0,0.003308519,0.996691481,0,0,0,243.529876,1894.151909,1072.180613,58.2484628,373.4538769,1092.586819,26.24176955,0.002485841,0.068961624,0.06263121,0.079164807,0.174260931,0.134078675,0,1,0,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,20,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","1","UniqueValue","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.627791563,0.110835401,0.004962779,0,0,0,0.204301075,0,0.009098428,0.009925558,0,0,0.018196857,0.009098428,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,15
"Ectophylla alba",0,"XYknown","Ectophylla alba","Ectophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","H. ALLEN 1892",1892,"Mammals",0,47,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",5.8,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ectophylla alba","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT",0,13.31384556,23,124368.6377,-84.4418914,13.31384556,0,"This work",0,0,0,0,1,0,0,0,249.590281,2695.013924,693.2207308,53.8736552,204.6802382,582.4816664,26.20445757,0.002166177,0.072604046,0.111595516,0.000185091,0.144426668,0.186365739,0,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.995","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.739130435,0.043478261,0.043478261,0,0,0,0.130434783,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15,14
"Erophylla bombifrons",0,"XYknown","Erophylla bombifrons","Erophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1899",1899,"Mammals",0,84,"",1,"Phylogenetic Multiple Imputation",35,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Erophylla bombifrons","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,18.90842251,19,82891.95175,-71.26235614,18.90842251,1,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,243.88272,1383.999678,1251.459877,41.09054386,260.8558802,144.8287833,318.0007582,0.016115075,0.144661008,0.101994615,4e-06,0.104810798,0.262770698,1,0,0,0,0,0,1,1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,NA,"","1.5","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.789473684,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,3,0,16,15
"Erophylla sezekorni",0,"XYknown","Erophylla sezekorni","Erophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","GUNDLACH 1861",1861,"Mammals",0,84,"",1,"Phylogenetic Multiple Imputation",35,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Erophylla sezekorni","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,21.60109753,40,122949.2279,-78.91392824,21.60109753,1,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,0,0,1,0,0,0,251.8616818,1349.13376,1659.133651,56.02251671,55.28571357,129.7322678,123.6236299,0.003488765,0.137680589,0.112468311,0.001764201,0.118776933,0.253637665,1,0,0,0,0,0,1,1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,NA,"","1","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.125,0.475,0.25,0,0,0,0,0,0,0,0,0,0.05,0.1,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,15
"Glossophaga soricina",0,"XYknown","Glossophaga soricina","Glossophaga","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","PALLAS 1766",1766,"Mammals",0,59,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",25,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glossophaga soricina","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,5.032557464,1405,14858272.86,-62.5687674,-5.032557464,0,"This work",0,0,0,0.025622776,0.974377224,0,0,0,236.8571624,1836.234316,1138.337061,60.52592076,488.1398123,1002.034983,34.27820224,0.003032784,0.072946134,0.07039532,0.075946026,0.176228761,0.146374238,1,0,0,0,0,0,1,1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,11,"Wilkinson and Adams, 2019, Biol. Lett., 15:20180860","1","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.578647687,0.137366548,0.027758007,0,0,0,0.170818505,0,0.009964413,0.016370107,0,0,0.039145907,0.009964413,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,15
"Glyphonycteris daviesi",0,"XYknown","Glyphonycteris daviesi","Glyphonycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","HILL 1964",1964,"Mammals",0,88,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",18.61,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Glyphonycteris daviesi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,1.86344123,477,5566238.54,-64.00422652,-1.86344123,0,"This work",0,0,0,0,1,0,0,0,249.7143065,2458.770784,566.8374414,46.45735986,210.0273623,2109.477599,4.060214345,0.000423262,0.007673804,0.008833985,0.02716408,0.04336943,0.016931051,1,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.914046122,0.004192872,0,0,0,0,0.067085954,0,0,0,0,0,0,0.006289308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,13
"Lampronycteris brachyotis",0,"XYknown","Lampronycteris brachyotis","Lampronycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","DOBSON 1879",1879,"Mammals",0,62,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",11,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lampronycteris brachyotis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,1.128134483,406,3865039.511,-59.91938564,1.128134483,0,"This work",0,0,0,0,1,0,0,0,252.2919477,2251.936323,709.6125486,53.72463802,197.9285439,1723.996985,16.19805195,0.001444789,0.024003151,0.025399612,0.037507193,0.071893586,0.050847551,1,0,0,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.810344828,0.04679803,0.012315271,0,0,0,0.07635468,0,0,0,0,0,0.024630542,0.017241379,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,15
"Lionycteris spurrelli",0,"XYknown","Lionycteris spurrelli","Lionycteris","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","THOMAS 1913",1913,"Mammals",0,60,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",8.85,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lionycteris spurrelli","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,1.597473855,663,7274104.326,-64.47480926,-1.597473855,0,"This work",0,0,0,0,1,0,0,0,243.8583751,2300.168633,592.15433,49.82572922,359.5578097,1692.517047,15.75978445,0.001079991,0.02134697,0.044410614,0.032348655,0.095140602,0.066837575,0,0,0,0,0,0,0,1,0,0,"Lintulaakso, 2022. MammalBase - Dataset 02: Mammalian diets. University of Helsinki, Luonnontieteellinen keskusmuseo. https://doi.org/10.23729/dba945eb-8536-4954-a6a6-be9f457c80c9",1,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.838612368,0.025641026,0,0,0,0,0.069381599,0,0,0.015082956,0,0,0.033182504,0.010558069,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0.071428571,14,13
"Lonchophylla robusta",0,"XYknown","Lonchophylla robusta","Lonchophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","MILLER 1912",1912,"Mammals",0,78,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",17.2,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lonchophylla robusta","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,5.149733927,144,1116230.472,-75.71436932,5.149733927,0,"This work",0,0,0,0,1,0,0,0,224.0651474,2425.099085,457.1893155,46.03446601,781.54888,495.3483793,77.5307802,0.004704547,0.056741384,0.194139341,0.030603365,0.260357794,0.255585272,1,0,0,0,0,0,1,1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.729166667,0.125,0.006944444,0,0,0,0.041666667,0,0,0,0,0,0.076388889,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071428571,14,13
"Lonchophylla thomasi",0,"XYknown","Lonchophylla thomasi","Lonchophylla","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","J.A. ALLEN, 1904",1904,"Mammals",1,57,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",14,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lonchophylla thomasi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,3.003724076,755,8383006.221,-64.4546205,-3.003724076,0,"This work",0,0,0,0,1,0,0,0,241.4554885,2243.473021,655.7750615,51.49098993,406.7010438,1573.826022,15.58985391,0.00110178,0.028083941,0.043937117,0.035397509,0.101196534,0.073122839,1,0,0,0,0,0,1,1,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,NA,"","0.99","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.8,0.043708609,0,0,0,0,0.090066225,0,0.001324503,0.021192053,0,0,0.029139073,0.00794702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733333333,16,15
"Lonchorhina aurita",0,"XYknown","Lonchorhina aurita","Lonchorhina","Phyllostomidae","Chiroptera","Chiroptera","Mammalia","TOMES 1863",1863,"Mammals",0,74,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",16,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,0,1,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Lonchorhina aurita","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,5.317195132,1083,11574481.74,-58.42497572,-5.317195132,0,"This work",0,0,0,0,1,0,0,0,246.2564427,1978.887981,851.5003603,59.14406851,354.6733756,1167.423872,28.72450718,0.002693486,0.062933933,0.06068193,0.074225304,0.161256446,0.126309349,1,0,0,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,NA,"","0.98","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.657433056,0.11634349,0.007386888,0,0,0,0.172668513,0,0.007386888,0,0,0,0.01754386,0.012003693,1,1,0,1,0,0,1,0,0,0,0,0,0,3,0,16,15
