"","XYorvariant","sex.imputed","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","AssessedStatus2","SourceStatus2","ThreatStatus","ImputedThreatStatus","AbsoluteLatitude","RangeSize","RangeSize_km2","Longitude","Latitude","Insularity","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","PropGrazingArea","PropAnthroHyde","DietInv","DietVend","DietVect","DietVfish","DietVunk","DietScav","DietFruit","DietNect","DietSeed","DietPlant","SourceDiet","DietBreadth","MaxLongevity","SourceLongevity","LitterSize","LitterSize_Metric","SourceLitterSize","DirectDev","LarvalStage","Viviparity","SourceDirectDev","SourceLarvalStage","BiomeNum_1","BiomeNum_2","BiomeNum_3","BiomeNum_4","BiomeNum_5","BiomeNum_6","BiomeNum_7","BiomeNum_8","BiomeNum_9","BiomeNum_10","BiomeNum_11","BiomeNum_12","BiomeNum_13","BiomeNum_14","PopulationTrend","Threat_1","Threat_2","Threat_3","Threat_4","Threat_5","Threat_6","Threat_7","Threat_8","Threat_9","Threat_10","Threat_11","Threat_12","ThreatSum","perc.acro"
"Urva semitorquata",0,"1","XY","Urva semitorquata","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","GRAY, 1846",1846,"Mammals",0,650,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",3500,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes semitorquatus","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT",0,0.860927432,151,1174536.922,114.2051735,0.860927432,1,"Marino, Leclerc, and Bellard, 2021, Glob. Chang. Biol., 28:1077-1090",0,0,1,0,0,0,0,0,251.8887641,2943.121518,318.4820017,25.28133612,247.6455774,1236.304839,63.65139643,0.002281886,0.199441157,0.032036325,2.82e-07,0.039658611,0.233759368,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,8.9,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","3.49","Average","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.947019868,0,0,0,0,0,0,0,0,0,0,0,0,0.033112583,0,1,1,0,0,1,0,0,0,0,0,0,0,3,NA
"Urva smithii",0,"1","XY","Urva smithii","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","GRAY, 1837",1837,"Mammals",1,650,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1782,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes smithii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,19.41213971,197,1895561.135,78.26528651,19.41213971,0,"This work",0,0,1,0,0,0,0,0,262.283769,1158.098316,3488.141339,115.3050891,367.576675,151.0687249,395.8487127,0.005336409,0.457288456,0.021152631,0.00304992,0.027430278,0.483777496,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,17.8,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","2.5","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.365482234,0.406091371,0,0,0,0,0,0,0,0,0,0,0.21319797,0.005076142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Urva urva",1,"0","YAfusion","Urva urva","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(HODGSON, 1836)",1836,"Mammals",0,520,"HBL",0,"Smith, Xie, Hoffmann, Lunde, MacKinnon, Wilson, and Wozencraft, 2010. A guide to the mammals of China. Princeton University Press, Princeton, 576 p.",4000,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes urva","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,22.24650219,448,4060612.619,104.436396,22.24650219,0,"This work",0,0,0.772321429,0,0,0,0.227678571,0,205.3700567,1765.761732,4366.864287,75.90314877,662.2376471,331.6923447,240.0746993,0.00695993,0.150062826,0.064918432,0.000860302,0.06796016,0.221941189,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,13.33333333,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","3","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.709821429,0.098214286,0,0.116071429,0.033482143,0,0.002232143,0,0,0.017857143,0,0,0,0.022321429,0,1,1,1,1,1,0,0,0,0,0,0,0,5,"0"
"Urva vitticollis",0,"1","XY","Urva vitticollis","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","BENNETT, 1835",1835,"Mammals",0,650,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",2575.6,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes vitticollis","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,7.611827428,40,152078.7604,80.70515535,7.611827428,0,"This work",0,0,1,0,0,0,0,0,258.8723091,1975.965927,1308.129937,87.22434326,332.7273002,180.4669898,437.7853332,0.004494733,0.251558067,0.028796146,0.000286582,0.029540835,0.284848946,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,12.80833333,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","2.73","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.475,0.375,0,0,0,0,0,0,0,0,0,0,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NA
"Ichneumia albicauda",0,"0","XY","Ichneumia albicauda","Ichneumia","Herpestidae","Carnivora","Carnivora","Mammalia","G. CUVIER 1829",1829,"Mammals",0,1040,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",5220,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,6,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Ichneumia albicauda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,0.035378081,1371,14289154.75,22.69214335,0.035378081,0,"This work",0.954777535,0,0,0,0,0,0.045222465,0,241.381488,921.1270616,2175.30151,96.18080861,742.1351998,465.2198665,60.18731,0.002385798,0.123763478,0.136487316,0.139137904,0.280157364,0.262636591,1,0,0,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,12,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","2.35","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.086797958,0.001458789,0,0,0,0,0.745441284,0.005835157,0.020423049,0.027716995,0,0.002188184,0.107221007,0.000729395,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"0.16666667"
"Liberiictis kuhni",0,"1","XY","Liberiictis kuhni","Liberiictis","Herpestidae","Carnivora","Carnivora","Mammalia","HAYMAN 1958",1958,"Mammals",0,555,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",2400,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Liberiictis kuhni","VU","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","VU","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","VU",0,6.075875465,14,77730.58408,-8.162824852,6.075875465,0,"This work",1,0,0,0,0,0,0,0,250.5905401,2085.040053,861.8450843,54.84360147,226.6285636,523.5365869,38.08591826,0.004043706,0.146271959,0.182541323,0.000234577,0.195833249,0.332856988,1,0,0,0,1,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,4.658333333,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","","","",1,0,1,"Assumed for this work","Assumed for this work",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,NA
"Mungos gambianus",0,"1","XY","Mungos gambianus","Mungos","Herpestidae","Carnivora","Carnivora","Mammalia","OGILBY 1835",1835,"Mammals",1,355,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1644.98,0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Mungos gambianus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,8.603791698,178,1633972.59,-4.894851429,8.603791698,0,"This work",1,0,0,0,0,0,0,0,262.1186675,1460.317493,1561.829137,82.73299194,272.4221844,268.5613807,121.7403173,0.005384253,0.226088324,0.264013644,0.009344841,0.274729413,0.495486221,1,0,0,0,1,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,5.408333333,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","","","",1,0,1,"Assumed for this work","Assumed for this work",0.269662921,0,0,0,0,0,0.691011236,0,0,0,0,0,0,0.033707865,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NA
"Mungos mungo",0,"0","XY","Mungos mungo","Mungos","Herpestidae","Carnivora","Carnivora","Mammalia","GMELIN 1788",1788,"Mammals",0,400,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1880,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Mungos mungo","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,5.106943024,1016,10330989.07,28.04374802,-5.106943024,0,"This work",1,0,0,0,0,0,0,0,234.6849538,970.027006,1821.048835,89.83618072,786.1295323,532.4889476,46.81788291,0.00165681,0.079984896,0.138775751,0.142435149,0.285981779,0.220417457,1,0,0,0,1,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,12,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","2.68","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.080708661,0.001968504,0,0,0,0,0.815944882,0,0.021653543,0.010826772,0,0,0.063976378,0.000984252,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"0"
"Paracynictis selousi",0,"1","XY","Paracynictis selousi","Paracynictis","Herpestidae","Carnivora","Carnivora","Mammalia","DE WINTON 1896",1896,"Mammals",0,455,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",2160,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Paracynictis selousi","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,16.82798605,199,1796786.974,24.42345601,-16.82798605,0,"This work",1,0,0,0,0,0,0,0,212.9370113,791.0493176,2760.22867,103.0884642,1061.469033,623.1135739,26.76223425,0.002246145,0.061874603,0.104262672,0.208029732,0.314067395,0.16838342,1,0,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,NA,"","2","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.015075377,0,0,0,0,0,0.914572864,0,0.030150754,0,0,0,0.040201005,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,NA
"Rhynchogale melleri",0,"0","XY","Rhynchogale melleri","Rhynchogale","Herpestidae","Carnivora","Carnivora","Mammalia","GRAY 1865",1865,"Mammals",0,563,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",2840,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Rhynchogale melleri","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,13.97666718,219,2215640.939,31.76142099,-13.97666718,0,"This work",1,0,0,0,0,0,0,0,217.4146354,988.6392316,2345.317305,102.9485061,909.837876,438.5051189,35.57322523,0.001904153,0.078538305,0.161983384,0.099020146,0.263056938,0.242425842,1,0,0,0,1,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,NA,"","2","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.02739726,0.00913242,0,0,0,0,0.96347032,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suricata suricatta",0,"0","XY","Suricata suricatta","Suricata","Herpestidae","Carnivora","Carnivora","Mammalia","SCHREBER 1776",1776,"Mammals",0,310,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",915,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Suricata suricatta","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,25.9001873,186,1758704.584,21.32049334,-25.9001873,0,"This work",1,0,0,0,0,0,0,0,191.9117542,323.681722,4521.39323,84.52209262,1096.839797,569.8716977,14.801146,0.001627874,0.035137651,0.022966317,0.409599563,0.442157008,0.059731842,1,0,0,0,1,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,20.63,"Ricklefs, 2010, Proc. Natl. Acad. Sci. USA, 107:10314-10319","3.86","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0,0,0,0,0,0,0.193548387,0,0.005376344,0.096774194,0,0.064516129,0.639784946,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.16666667"
