"i" "asc1" "desc1" "asc2" "desc2" "tran12" "tran21" "p"
"16" 16 3.78869520965635 0.156574899259997 5.57864613159396 6.32156920879549 5.35010496694511 1.5716253059187 -183.355603820141
"17" 17 1.82822636060571 0.123971073543067 5.65337107681721 5.68765357536969 5.34973131488632 1.2483322684387 -180.868709140426
"18" 18 1.79311525460592 1.43664055923485 5.64537878687612 5.54770573731232 4.09596495352857 0.569466323658742 -180.563893609521
"19" 19 1.97646703390814 1.53624646577647 5.83469200600526 5.43948835638459 1.80805998834622 0.627005841760658 -180.448786780969
"20" 20 0.936613709232463 1.46502289282747 6.10274217466348 5.7430530087255 2.08611760343277 0.731206008295707 -179.060171118795
"21" 21 0.753837751757469 1.32407037770313 6.11264650161619 5.83452107341037 3.09284828513021 0.767310715485881 -178.977438452485
"22" 22 0.270054138125018 0.492848784412279 5.98430057046309 5.80002956340483 2.02021032551756 0.532578236040788 -177.453432995475
"23" 23 0.806304294022193 1.18789233061676 6.28780780563687 5.83135666751473 2.55856606174627 0.571705098414737 -179.210380101014
"24" 24 0.223931613478862 1.16565731564297 6.34883773147533 5.93632366354048 2.95272827890341 0.540235746216683 -179.032589861764
"25" 25 0.999481351485173 3.10089628695053 6.44086153385072 5.83924717774053 2.50287114976746 0.521882425165237 -179.931787482652
"26" 26 0.554685509187299 0.986520210996046 6.50141498118379 6.49267482745801 2.11288775129712 0.711047878928872 -180.154377118341
"27" 27 1.30653982633911 1.33380885666336 6.69379397599182 6.43008659106986 1.9238052092934 0.104375404879633 -181.928814568584
"28" 28 1.12606742881208 2.14322491306435 6.67563699167404 6.56290836344036 1.2706690147166 0.173886840710994 -177.379270538328
"29" 29 2.89032367222069 4.2247307750105 6.90799959174713 6.66901207121335 1.09982410458438 0.0742338592904169 -176.547480210079
"30" 30 2.85977863595086 5.35518197349355 7.12265279707411 6.55263655043376 0.48414097057356 0.0673601826320505 -172.478393302552
"31" 31 2.14662770959979 3.9562003620495 6.85355746237409 6.32868520670119 0.502649268188889 0.0260257412292674 -169.77809054667
