"i" "asc1" "desc1" "asc2" "desc2" "tran12" "tran21" "p"
"25" 25 0.885471589682726 0.191678236291039 0.019361255212588 1.21533973228541 0.0591649981128242 0.137586820132123 -29.5176014471688
"26" 26 0.373832315108414 0.554430638974954 0.0679621059551869 1.00647990751863 0.0510774571595556 0.028163491981139 -25.3365636344493
"27" 27 0.0547924008628864 0.536458809286423 0.266768843050116 1.07630147978308 0.00736426231163376 0.0146052232570726 -26.9280444337888
"28" 28 0.0869395153489308 0.418601126180853 0.169391096201904 2.00918619553787 0.138294419834182 0.0649692788946273 -25.7092508163511
"29" 29 0.00387120825789549 0.530281608916216 0.149389534879242 4.60881372618142 0.105427637241335 0.157580036203818 -27.3477777049715
"30" 30 0.0894007369044867 0.430954342855034 0.11760481280794 2.5801472099455 0.081574159053389 0.247183513525495 -28.2328286452182
"31" 31 0.197711599656362 0.572823385247643 0.0121685249860326 2.03285893102621 0.374015079815911 0.238176889767494 -27.9449776511976
"32" 32 0.354579702266712 0.29266828464865 0.0563876809238397 1.59631968145784 0.488687415506266 0.575354880854125 -29.1115074124885
"33" 33 0.113768402078673 0.894772004687703 1.07279282675174 2.53341769010292 0.278562476549247 0.497167742441885 -32.6789075011011
"34" 34 0.786283262729482 1.48453627185541 0.104724779271377 1.17975632352037 0.633042966236995 0.412512168894261 -31.8772259045043
"35" 35 0.230955702939667 0.612464449655384 0.16123395029995 6.44313696836445 0.580049363130725 0.728832634447533 -31.7135012273813
"36" 36 0.104107690899909 0.0301381240638573 0.195238326559874 0.330690588328115 0.482908092541177 0.423133745312464 -31.2222681058605
"37" 37 0.0490740815901337 0.472072487330781 0.197548072945002 4.08078370551374 0.509874549037748 0.743129274892817 -29.3808364533324
"38" 38 0.244690992705891 0.487217104739245 0.131984060557213 1.11725231870277 0.577723284888554 0.251590089868473 -30.9870643577452
"39" 39 0.210152143691187 0.520318105413004 0.0664559112038318 3.12062387365828 0.599844146245263 1.03427174365898 -29.8351879532406
"40" 40 0.309373947289693 0.518406092856317 0.0426339447916585 1.263846449399 1.75152573648538 1.20970589587543 -31.2351606401133
"41" 41 0.344512224605275 1.32568878599587 0.124315216567768 0.792088769941832 2.22695907020912 3.10691177492834 -32.97379460907
"42" 42 0.825119144950929 1.88715367032184 0.299658635344978 2.99137965832291 2.28799378413953 3.5514621046481 -36.7566907769222
"43" 43 0.929411600623151 0.975522671234673 0.405301364766216 2.83100850264177 2.98651773210035 3.47201245271008 -36.0362788817744
"44" 44 0.466583398675092 0.564645752582021 0.181764019269464 1.56929511108285 2.72065029939626 3.18171929109952 -33.6663599681503
"45" 45 0.295136907649035 0.86236049905863 0.125335212684068 1.23535453174302 2.83343946692179 3.01642641150701 -32.8681130630522
"46" 46 0.159605713540706 0.901766962726331 0.15790905243921 1.0613967180855 2.92527693374698 2.26526375971409 -32.6444313934202
"47" 47 0.418832999109097 0.807369388006704 0.151706378190728 1.10690354547124 1.43446424170751 1.23504794649394 -31.8282870632206
"48" 48 0.181705204835313 0.0874234021840098 0.00699789632869877 2.45547205653762 1.23791657622347 1.22959315832315 -29.4757072933463
"49" 49 0.00364893146782856 0.00400622713968778 0.0474451374742992 2.21939167349211 1.07658211490132 1.20396192226742 -28.6471488179975
"50" 50 0.0335018797872534 0.0278847886185503 0.542184719292085 3.4681806705514 0.785920885789436 1.62524034173756 -31.3643354201138
"51" 51 0.00886489437901273 0.815547273462467 0.42318058764774 1.88506138880525 0.851905658281452 2.10457575273828 -32.3946085832483
"52" 52 0.00985794859300806 1.00819358544754 0.560976601032075 0.137730184245063 1.61728802495167 4.52211622011282 -34.0734447352591
"53" 53 0.0255156524070652 1.81130880432082 0.877318637333664 0.98750431361694 3.34536862273409 4.64300771934143 -36.0550294806908
"54" 54 0.158732826456301 0.850792379759879 0.0702008188915638 0.845627567736353 2.22489688300456 1.24417648556367 -32.2547232749855
"55" 55 0.11831771902353 0.529013945682557 0.056692047728482 1.33223082529665 1.78665632600341 2.34258285552906 -30.8847575600323
"56" 56 0.179259779808536 0.00217446571776032 0.0940641705679904 3.55290502827316 0.617473216495086 2.1928153758687 -33.0129472083189
"57" 57 0.0326042302364401 0.305903708203892 0.27600886827156 3.1204090823506 1.88254098002532 5.75741067899223 -34.7528792594968
